"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2014",17792,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2015",18049,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2016",18626,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2017",19295,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2018",20698,
"OAVG","GGEXP","TOT","THND_USD_CAP","A","2019",21478,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2010",8523.98,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2011",9728.84,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2012",8926.29,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2013",9484.28,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2014",9779.55,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2015",10117.99,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2016",10571.78,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2017",11232.48,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2018",12687.41,
"LTU","GGEXP","TOT","THND_USD_CAP","A","2019",13821.46,
"CRI","GGEXP","TOT","THND_USD_CAP","A","2010",5179.02,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2011",5427.8,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2012",4611.07,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2013",5018.91,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2014",5336.66,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2015",5681.65,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2016",6246.64,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2017",6756.62,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2018",8821.65,"E"
"CRI","GGEXP","TOT","THND_USD_CAP","A","2019",9797.35,
